comparison_id,query_id,topic,baseline,goal,assistant_1_system,assistant_2_system,answer_a_path,answer_b_path,answer_a_preview,answer_b_preview
human__internagent__q11,11,LLM capabilities,InternAgent,Generate a research proposal on the decoupling of Large Language Model capabilities.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_11/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_11/answer.txt,Research Proposal: Disentangling Knowledge from Reasoning in LLMs via Controlled Representation Intervention## Title Disentangling Knowledge and Reasoning Pathways in LLMs: A Representation-Intervention Framework for Capability Decoupling Problem Large Lang...,# InternAgent QA Replacement Output: Query 11 Topic: LLM capabilities Prompt: Generate a research proposal on the decoupling of Large Language Model capabilities. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode ...
human__internagent__q12,12,Factual consistency,InternAgent,Generate a research proposal on how to resolve factual consistency issues in Large Language Models.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_12/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_12/answer.txt,Research Proposal: Self-Consistency Training via Automated Factual Hard-Negative Generation## Title FiND — Factual Negative Distillation: Improving LLM Factual Consistency via Self-Generated Hard Negatives ---------------------------------------------------...,# InternAgent QA Replacement Output: Query 12 Topic: Factual consistency Prompt: Generate a research proposal on how to resolve factual consistency issues in Large Language Models. Model: deepseek-chat Paper-exact: false This answer was generated through In...
human__internagent__q13,13,Data synthesis,InternAgent,Generate a research proposal on data synthesis for code LLMs.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_13/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_13/answer.txt,Research Proposal: Synthesizing Failure-to-Repair Trajectories for Improving Code LLM Reasoning## Title Trajectory-for-Code: Self-Supervised Synthesis of Debugging Trajectories for Robust Code Generation -----------------------------------------------------...,# InternAgent QA Replacement Output: Query 13 Topic: Data synthesis Prompt: Generate a research proposal on data synthesis for code LLMs. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replacement baseline...
human__internagent__q14,14,Inference efficiency,InternAgent,Generate a research proposal on solving inference latency issues in Large Language Models.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_14/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_14/answer.txt,Research Proposal: Sensitivity-Guided Dynamic Precision Allocation for LLM Inference## Title DyPrec: Sensitivity-Guided Dynamic Precision Allocation for Latency-Optimized LLM Inference ------------------------------------------------------------------------...,# InternAgent QA Replacement Output: Query 14 Topic: Inference efficiency Prompt: Generate a research proposal on solving inference latency issues in Large Language Models. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgen...
human__internagent__q15,15,Machine translation,InternAgent,Generate a research proposal on debiasing in machine translation.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_15/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_15/answer.txt,Research Proposal: Counterfactual Data Augmentation for Mitigating Gender Bias in Neural Machine Translation## Title Counterfactual Data Augmentation with Source-Side Control for Mitigating Occupational Gender Bias in Neural Machine Translation Problem Neur...,# InternAgent QA Replacement Output: Query 15 Topic: Machine translation Prompt: Generate a research proposal on debiasing in machine translation. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replacement...
human__internagent__q16,16,Knowledge injection,InternAgent,Generate a research proposal on addressing the challenges of knowledge injection in domain-specific Large Language Models.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_16/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_16/answer.txt,Research Proposal: Adaptive Knowledge Injection via Confidence-Gated Adapter Fusion for Domain-Specific LLMs## Title Confidence-Gated Adapter Fusion for Mitigating Knowledge Conflicts During Domain-Specific LLM Injection Problem Domain-specific LLM deployme...,# InternAgent QA Replacement Output: Query 16 Topic: Knowledge injection Prompt: Generate a research proposal on addressing the challenges of knowledge injection in domain-specific Large Language Models. Model: deepseek-chat Paper-exact: false This answer w...
human__internagent__q17,17,Information extraction,InternAgent,Generate a research proposal on automated information extraction.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_17/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_17/answer.txt,Research Proposal: Schema-Constrained Open Information Extraction with Progressive Self-Correction## Title Schema-Constrained Open IE via Progressive Self-Correction: Extracting Arbitrary Relation Tuples from Unstructured Text Without Hand-Labeled Training ...,# InternAgent QA Replacement Output: Query 17 Topic: Information extraction Prompt: Generate a research proposal on automated information extraction. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replacem...
human__internagent__q18,18,UX evaluation,InternAgent,Generate a research proposal on user experience evaluation for Large Language Models.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_18/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_18/answer.txt,Research Proposal: Systematic Comparison of UX Evaluation Methods for LLM-Based Conversational Agents## Title Evaluating the Evaluators: A Comparative Study of User Experience Assessment Methods for LLM-Based Conversational Agents Problem User experience (U...,# InternAgent QA Replacement Output: Query 18 Topic: UX evaluation Prompt: Generate a research proposal on user experience evaluation for Large Language Models. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as...
human__internagent__q19,19,Evaluation leaderboards,InternAgent,Generate a research proposal on how to construct efficient leaderboards for LLM evaluation.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_19/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_19/answer.txt,Research Proposal: Adaptive Bayesian Leaderboards — Efficient LLM Evaluation via Active Sampling## Title Adaptive Bayesian Leaderboards: Accelerating LLM Evaluation via Active Benchmark Selection -------------------------------------------------------------...,# InternAgent QA Replacement Output: Query 19 Topic: Evaluation leaderboards Prompt: Generate a research proposal on how to construct efficient leaderboards for LLM evaluation. Model: deepseek-chat Paper-exact: false This answer was generated through Intern...
human__internagent__q20,20,Text generation,InternAgent,Generate a research proposal on the evaluation of diversity in text generation.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_20/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_20/answer.txt,"Research Proposal: Evaluating Context-Appropriate Diversity in Neural Text Generation## Title CoDE: A Context-Dependent Diversity Evaluation Framework for Open-Ended Text Generation Problem Existing diversity metrics for text generation (Distinct-n, Self-BL...",# InternAgent QA Replacement Output: Query 20 Topic: Text generation Prompt: Generate a research proposal on the evaluation of diversity in text generation. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a r...
human__internagent__q21,21,Content detection,InternAgent,Generate a research proposal on how to address false positives in AI-generated content detection.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_21/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_21/answer.txt,Research Proposal: Robust AI-Generated Content Detection via Adversarially-Calibrated Uncertainty Estimation (R-ACE) -------------------------------------------------------------------------------- Title R-ACE: Reducing False Positives in AI-Generated Conte...,# InternAgent QA Replacement Output: Query 21 Topic: Content detection Prompt: Generate a research proposal on how to address false positives in AI-generated content detection. Model: deepseek-chat Paper-exact: false This answer was generated through Intern...
human__internagent__q22,22,Code LLM security,InternAgent,Generate a research proposal on the security of code LLMs.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_22/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_22/answer.txt,Research Proposal: TrojanCode — Stealthy Backdoor Attacks on Code LLMs via Docstring-Embedded Triggers## Title TrojanCode: Instruction-Selective Backdoor Attacks on Code Large Language Models via Docstring-Embedded Triggers ---------------------------------...,# InternAgent QA Replacement Output: Query 22 Topic: Code LLM security Prompt: Generate a research proposal on the security of code LLMs. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replacement baseline...
human__internagent__q23,23,Code LLM evaluation,InternAgent,Generate a research proposal on how to build a deep evaluation framework for code LLMs.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_23/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_23/answer.txt,Research Proposal: DeepEval — A Multi-Dimensional Evaluation Framework for Code LLMs### Title DeepEval: Beyond Functional Correctness — A Multi-Dimensional Evaluation Framework for Code LLMs ------------------------------------------------------------------...,# InternAgent QA Replacement Output: Query 23 Topic: Code LLM evaluation Prompt: Generate a research proposal on how to build a deep evaluation framework for code LLMs. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA...
human__internagent__q24,24,RAG,InternAgent,Generate a research proposal on solving multi-hop reasoning challenges in Retrieval-Augmented Generation (RAG).,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_24/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_24/answer.txt,"Title: Graph-Guided Iterative Retrieval with Structured Decomposition for Multi-Hop RAGProblem Standard RAG pipelines retrieve documents in a single flat pass and then generate an answer. For multi-hop questions (e.g., ""Which university did the president of...",# InternAgent QA Replacement Output: Query 24 Topic: RAG Prompt: Generate a research proposal on solving multi-hop reasoning challenges in Retrieval-Augmented Generation (RAG). Model: deepseek-chat Paper-exact: false This answer was generated through Intern...
human__internagent__q25,25,Multi-source reasoning,InternAgent,Generate a research proposal on complex reasoning with multi-source information.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_25/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_25/answer.txt,Research Proposal: Conflict-Aware Multi-Source Reasoning### Title Conflict-Aware Multi-Source Reasoning: Detecting and Resolving Information Conflicts in Retrieval-Augmented Generation ------------------------------------------------------------------------...,# InternAgent QA Replacement Output: Query 25 Topic: Multi-source reasoning Prompt: Generate a research proposal on complex reasoning with multi-source information. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mod...
human__internagent__q26,26,Data filtering,InternAgent,Generate a research proposal on solving data filtering challenges for domain-specific models.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_26/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_26/answer.txt,Research Proposal: Adaptive Difficulty Filtering for Domain-Specific Language Model Pretraining## Title AdaFilter: Adaptive Difficulty-Aware Data Filtering for Domain-Specific Language Model Pretraining ------------------------------------------------------...,# InternAgent QA Replacement Output: Query 26 Topic: Data filtering Prompt: Generate a research proposal on solving data filtering challenges for domain-specific models. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent Q...
human__internagent__q27,27,Long-context understanding,InternAgent,Generate a research proposal on how to enhance the long-context understanding of Large Language Models.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_27/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_27/answer.txt,Research Proposal: Structured Memory Banks for Long-Context Grounding in LLMs## Title Memory-Augmented Hierarchical Summarization (MAHS): Improving Long-Context Grounding Without Full Attention Retraining ----------------------------------------------------...,# InternAgent QA Replacement Output: Query 27 Topic: Long-context understanding Prompt: Generate a research proposal on how to enhance the long-context understanding of Large Language Models. Model: deepseek-chat Paper-exact: false This answer was generated...
human__internagent__q28,28,Alignment,InternAgent,Generate a research proposal on cross-cultural alignment for Large Language Models.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_28/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_28/answer.txt,"Title: CULTURAL-PREF: Preference Tuning with Culturally-Grounded Contrastive Examples for Cross-Cultural LLM AlignmentProblem. Current RLHF/DPO alignment pipelines overwhelmingly use preference data annotated by English-speaking, Western raters. This produc...",# InternAgent QA Replacement Output: Query 28 Topic: Alignment Prompt: Generate a research proposal on cross-cultural alignment for Large Language Models. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a rep...
human__internagent__q29,29,Alignment,InternAgent,Generate a research proposal on value alignment for AI agents.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_29/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_29/answer.txt,Research Proposal: Steering Vector–Based Value Control in Large Language Models## Title Value Steering Without Fine-Tuning: Representation Engineering for Controllable AI Alignment ----------------------------------------------------------------------------...,"# InternAgent QA Replacement Output: Query 29 Topic: Alignment Prompt: Generate a research proposal on value alignment for AI agents. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replacement baseline, no..."
human__internagent__q30,30,Audio foundation models,InternAgent,Help me generate a research proposal on general-purpose audio foundation models.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_30/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_30/answer.txt,Research Proposal: Reproducing and Extending Masked Audio Modeling for General-Purpose Audio Foundation Models## Title Are Masked Autoencoders Sufficient for General-Purpose Audio Representation Learning? A Reproducibility and Extension Study of AudioMAE --...,# InternAgent QA Replacement Output: Query 30 Topic: Audio foundation models Prompt: Help me generate a research proposal on general-purpose audio foundation models. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mo...
human__ai_scientist_v2__q01,1,Machine translation,AI Scientist-v2,Generate a research proposal on low-resource machine translation.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_01/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_01/answer.txt,Research Proposal: Cross-Lingual Contrastive Retrieval for Low-Resource Neural Machine Translation## Title CREST-MT: Cross-Lingual Contrastive Retrieval-Augmented Fine-Tuning for Low-Resource Machine Translation ---------------------------------------------...,"# Morphology-Aware Translation from Scratch: When Simple Segmentation Beats Large Pretrained Models for Low-Resource Machine Translation Short Hypothesis: For extremely low-resource language pairs (e.g., <10k sentence pairs), training a small Transformer fr..."
human__ai_scientist_v2__q02,2,Software engineering,AI Scientist-v2,Help me generate a research proposal on AI for software engineering.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_02/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_02/answer.txt,Research Proposal: Self-Specification Alignment for LLM-Generated Code## Title Self-Specification Alignment: Closing the Validation Loop for LLM Code Generation Using Automatically Generated Behavioral Oracles -----------------------------------------------...,"# Curious Code Explorer: Active Curiosity-Driven Codebase Understanding via Autonomous Question Generation Short Hypothesis: An AI agent that actively explores a codebase by generating and answering its own 'curiosity questions' (e.g., 'What is the entry po..."
human__ai_scientist_v2__q03,3,LLM evaluation,AI Scientist-v2,Generate a research proposal on how to address the accuracy issues of automated evaluation for Large Language Models.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_03/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_03/answer.txt,Research Proposal: Addressing Accuracy Issues in Automated LLM Evaluation--- Title Calibrated Ensemble Evaluation (CEE): Improving LLM-as-a-Judge Accuracy through Uncertainty-Aware Multi-Model Deliberation ---------------------------------------------------...,"# Calibrating LLM Judges via Adversarial Conflict Resolution: A Self-Improving Evaluation Framework Short Hypothesis: Current LLM-based automated evaluators (e.g., GPT-4 as a judge) suffer from systematic biases (position bias, verbosity bias, self-enhancem..."
human__ai_scientist_v2__q04,4,Healthcare agents,AI Scientist-v2,Help me generate a research proposal on AI agents in healthcare.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_04/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_04/answer.txt,Research Proposal: Multi-Agent LLM Systems for Clinical Trial Eligibility Screening## Title TrialMatch: A Structured Multi-Agent Debate Framework for Zero-Shot Clinical Trial Eligibility Screening ------------------------------------------------------------...,"# Uncertainty-Driven Adaptive Autonomy for AI Agents in Clinical Triage Short Hypothesis: An AI agent that dynamically adjusts its level of autonomy (fully autonomous, recommend with explanation, or defer to human) based on real-time calibrated epistemic un..."
human__ai_scientist_v2__q05,5,Literature review automation,AI Scientist-v2,Generate a research proposal on automated literature review generation.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_05/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_05/answer.txt,Title: Structured Critical Literature Review Generation via Hierarchical Contradiction-Aware Synthesis--- Problem Current automated literature review systems (LLM-based or retrieval-augmented) produce fluent but shallow summaries — they list findings paper-...,# Citation-Conditioned Literature Review Generation via Structured Argument Graphs Short Hypothesis: Explicitly modeling the evidential relationships between claims and citations as a directed acyclic graph (DAG) during literature review generation will pro...
human__ai_scientist_v2__q06,6,Speech recognition,AI Scientist-v2,Generate a research proposal on low-resource speech recognition.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_06/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_06/answer.txt,Research Proposal: Confidence-Gated Iterative Pseudo-Labeling with Phoneme-Constrained Augmentation for Low-Resource ASRTitle: Semi-Supervised Self-Training with Audited Pseudo-Labels and Phoneme-Preserving Augmentation for Under-10-Hour Speech Recognition-...,# Phonetic-Guided Self-Supervised Learning: Bootstrapping Low-Resource Speech Recognition with Cross-Lingual Phonetic Priors Short Hypothesis: We hypothesize that incorporating a cross-lingual phonetic prior into self-supervised speech representation learni...
human__ai_scientist_v2__q07,7,Model efficiency,AI Scientist-v2,Generate a research proposal on how to break the performance ceiling of small models.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_07/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_07/answer.txt,-------------------------------------------------------------------------------- Research Proposal: Breaking the Performance Ceiling of Small Language Models via Targeted Capacity Allocation## Title Beyond Scaling Alone: Targeted Capacity Allocation for Bre...,# Breaking the Small Model Ceiling with Dynamic Memory Augmentation Short Hypothesis: Small models hit a performance ceiling because their fixed parameter count limits representational capacity for hard examples. By equipping a small model with a learnable ...
human__ai_scientist_v2__q08,8,AI agents,AI Scientist-v2,Generate a research proposal on complex reasoning for AI agents.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_08/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_08/answer.txt,"Research Proposal: Compositional Reasoning Under Distraction — When Do Agentic Workflows Break Down? Title**""Plan-Trace-Verify: A Controlled Study of Multi-Step Compositional Reasoning in LLM Agents Under Distractor Conditions""** ---------------------------...","# Graph Rewiring: Dynamic Restructuring of Reasoning Graphs for Adaptive AI Agents Short Hypothesis: Allowing an AI agent to dynamically restructure its reasoning graph (adding, removing, or merging nodes and edges) based on intermediate feedback will signi..."
human__ai_scientist_v2__q09,9,Model deployment,AI Scientist-v2,Generate a research proposal on solving quantization challenges for LLM deployment on edge devices.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_09/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_09/answer.txt,"Title: Mixed-Precision Differentiable Quantization via Adaptive Bit Allocation for LLM Deployment on Edge DevicesProblem Deploying large language models (LLMs) on edge devices (phones, IoT, embedded systems) is bottlenecked by memory bandwidth and power. Cu...","# AADSQ: Activation-Aware Dynamic Sparse Quantization for Efficient LLM Inference on Edge Devices Short Hypothesis: We hypothesize that dynamically adjusting the quantization precision of LLM weights and activations at runtime, based on the sparsity and out..."
human__ai_scientist_v2__q10,10,Text-to-SQL,AI Scientist-v2,Help me generate a research proposal on Text-to-SQL.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_10/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_10/answer.txt,Research Proposal: Schema-Aware Decomposition for Complex Text-to-SQL on Large-Scale Databases## Title Schema-Aware Decomposition: Robust Text-to-SQL on Large-Scale Databases via Progressive Pruning and Incremental Construction -----------------------------...,"# Compositional SQL Synthesis via Program Decomposition: A Modular Approach to Text-to-SQL Generalization Short Hypothesis: The primary limitation in compositional generalization for Text-to-SQL is not the language model's reasoning capacity, but the lack o..."
human__ai_scientist_v2__q11,11,LLM capabilities,AI Scientist-v2,Generate a research proposal on the decoupling of Large Language Model capabilities.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_11/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_11/answer.txt,Research Proposal: Disentangling Knowledge from Reasoning in LLMs via Controlled Representation Intervention## Title Disentangling Knowledge and Reasoning Pathways in LLMs: A Representation-Intervention Framework for Capability Decoupling Problem Large Lang...,"# Capability Gradient Descent: Learning Orthogonal Skill Subspaces for Dynamic LLM Control Short Hypothesis: We hypothesize that the diverse capabilities of a large language model (e.g., reasoning, coding, creativity, factual recall) are encoded in linearly..."
